@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24, unlabeled}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
M, 0.685, 0.52, 0.15, 1.3735, 0.7185, 0.293, 0.32, unlabeled
I, 0.32, 0.235, 0.09, 0.183, 0.098, 0.0335, 0.042, unlabeled
F, 0.5349999999999999, 0.44499999999999995, 0.125, 0.8725, 0.417, 0.199, 0.24, unlabeled
M, 0.32, 0.24, 0.08499999999999999, 0.17, 0.0655, 0.047, 0.049, unlabeled
M, 0.62, 0.485, 0.155, 1.049, 0.46199999999999997, 0.23099999999999998, 0.25, unlabeled
I, 0.44, 0.32, 0.105, 0.3875, 0.1755, 0.074, 0.12, unlabeled
M, 0.57, 0.45, 0.155, 0.9099999999999999, 0.326, 0.1895, 0.355, unlabeled
F, 0.36, 0.265, 0.09, 0.2165, 0.096, 0.037, 0.0735, unlabeled
I, 0.47, 0.4, 0.16, 0.51, 0.1615, 0.073, 0.198, unlabeled
M, 0.5, 0.4, 0.145, 0.6025, 0.21600000000000003, 0.138, 0.21, unlabeled
I, 0.45, 0.335, 0.105, 0.362, 0.1575, 0.0795, 0.1095, unlabeled
F, 0.71, 0.56, 0.18, 1.652, 0.735, 0.381, 0.4525, unlabeled
M, 0.63, 0.51, 0.16999999999999998, 1.1885, 0.4915, 0.3065, 0.348, unlabeled
I, 0.575, 0.45, 0.125, 0.78, 0.3275, 0.188, 0.235, unlabeled
M, 0.65, 0.525, 0.17499999999999996, 1.5365, 0.6865, 0.3585, 0.405, unlabeled
M, 0.485, 0.41, 0.15, 0.696, 0.2405, 0.1625, 0.265, unlabeled
M, 0.575, 0.425, 0.14, 0.8635, 0.393, 0.227, 0.2, unlabeled
M, 0.58, 0.44499999999999995, 0.135, 0.814, 0.3775, 0.1915, 0.22, unlabeled
M, 0.545, 0.41, 0.14, 0.737, 0.349, 0.15, 0.212, unlabeled
M, 0.33, 0.245, 0.08499999999999999, 0.171, 0.0655, 0.0365, 0.055, unlabeled
I, 0.29999999999999993, 0.23000000000000004, 0.075, 0.127, 0.052, 0.029999999999999995, 0.0345, unlabeled
F, 0.725, 0.565, 0.21, 2.1425, 1.03, 0.48699999999999993, 0.503, unlabeled
I, 0.375, 0.2800000000000001, 0.08, 0.22349999999999998, 0.11499999999999999, 0.043, 0.055, unlabeled
M, 0.46, 0.345, 0.12000000000000001, 0.4935, 0.24349999999999997, 0.1175, 0.132, unlabeled
M, 0.18, 0.125, 0.05, 0.023, 0.0085, 0.0055, 0.01, unlabeled
F, 0.635, 0.5, 0.15, 1.376, 0.6495, 0.361, 0.31, unlabeled
I, 0.37, 0.275, 0.1, 0.22949999999999998, 0.0885, 0.0465, 0.07, unlabeled
F, 0.67, 0.525, 0.19, 1.5270000000000001, 0.5755, 0.353, 0.44, unlabeled
F, 0.625, 0.485, 0.165, 1.2255, 0.5075, 0.296, 0.36, unlabeled
M, 0.155, 0.115, 0.025, 0.024, 0.009000000000000001, 0.005000000000000001, 0.0075, unlabeled
F, 0.435, 0.325, 0.11, 0.4335, 0.178, 0.0985, 0.155, unlabeled
I, 0.45, 0.355, 0.12000000000000001, 0.412, 0.1145, 0.0665, 0.16, unlabeled
F, 0.58, 0.45999999999999996, 0.18, 1.0515, 0.4095, 0.2595, 0.276, unlabeled
M, 0.515, 0.39000000000000007, 0.155, 0.7125, 0.3695, 0.137, 0.155, unlabeled
F, 0.605, 0.47, 0.165, 1.1775, 0.611, 0.2275, 0.292, unlabeled
M, 0.59, 0.45999999999999996, 0.145, 0.9289999999999999, 0.38, 0.24, 0.255, unlabeled
F, 0.615, 0.515, 0.16999999999999998, 1.14, 0.4305, 0.22450000000000003, 0.42, unlabeled
F, 0.635, 0.515, 0.19, 1.3715, 0.5065, 0.305, 0.45, unlabeled
M, 0.6, 0.47, 0.155, 1.036, 0.4375, 0.196, 0.325, unlabeled
F, 0.575, 0.475, 0.16, 0.8949999999999999, 0.3605, 0.221, 0.271, unlabeled
M, 0.575, 0.455, 0.185, 1.156, 0.5525, 0.243, 0.295, unlabeled
I, 0.66, 0.525, 0.215, 1.7859999999999998, 0.6725, 0.3615, 0.4065, unlabeled
I, 0.46, 0.35, 0.11, 0.4, 0.176, 0.083, 0.1205, unlabeled
F, 0.525, 0.415, 0.15, 0.7155, 0.2355, 0.171, 0.26999999999999996, unlabeled
I, 0.495, 0.38, 0.12000000000000001, 0.512, 0.233, 0.1205, 0.136, unlabeled
I, 0.5, 0.385, 0.12000000000000001, 0.516, 0.197, 0.1305, 0.165, unlabeled
I, 0.27999999999999997, 0.21, 0.075, 0.1195, 0.053, 0.0265, 0.03, unlabeled
F, 0.58, 0.44, 0.17499999999999996, 1.073, 0.4005, 0.2345, 0.335, unlabeled
F, 0.485, 0.395, 0.16, 0.66, 0.2475, 0.128, 0.235, unlabeled
I, 0.33, 0.265, 0.09, 0.18, 0.068, 0.036, 0.06, unlabeled
I, 0.415, 0.305, 0.12000000000000001, 0.336, 0.165, 0.076, 0.0805, unlabeled
I, 0.435, 0.325, 0.12000000000000001, 0.346, 0.159, 0.084, 0.095, unlabeled
F, 0.43, 0.325, 0.115, 0.3865, 0.1475, 0.1065, 0.11, unlabeled
M, 0.6, 0.45, 0.15, 0.8665, 0.3695, 0.1955, 0.255, unlabeled
M, 0.57, 0.455, 0.15, 0.952, 0.38950000000000007, 0.21550000000000002, 0.2745, unlabeled
F, 0.67, 0.52, 0.19, 1.32, 0.5235, 0.3095, 0.4275, unlabeled
F, 0.56, 0.455, 0.16, 0.967, 0.4525, 0.20700000000000002, 0.274, unlabeled
F, 0.675, 0.555, 0.205, 1.925, 0.713, 0.358, 0.4535, unlabeled
F, 0.615, 0.5, 0.165, 1.327, 0.6, 0.3015, 0.355, unlabeled
F, 0.6, 0.455, 0.145, 0.8895, 0.41899999999999993, 0.1715, 0.269, unlabeled
M, 0.56, 0.42999999999999994, 0.145, 0.8995, 0.464, 0.1775, 0.234, unlabeled
F, 0.59, 0.485, 0.205, 1.2315, 0.4525, 0.23800000000000002, 0.42, unlabeled
M, 0.465, 0.355, 0.125, 0.5255, 0.2025, 0.135, 0.145, unlabeled
F, 0.6, 0.475, 0.18, 1.1805, 0.4345, 0.2475, 0.425, unlabeled
M, 0.38, 0.29, 0.12000000000000001, 0.283, 0.1175, 0.0655, 0.085, unlabeled
I, 0.55, 0.425, 0.135, 0.7305, 0.3325, 0.1545, 0.215, unlabeled
I, 0.33, 0.24999999999999997, 0.095, 0.2085, 0.102, 0.0395, 0.052, unlabeled
F, 0.655, 0.515, 0.155, 1.309, 0.524, 0.346, 0.385, unlabeled
M, 0.27999999999999997, 0.2, 0.08, 0.0915, 0.033, 0.0215, 0.03, unlabeled
F, 0.46, 0.365, 0.125, 0.4785, 0.20599999999999996, 0.1045, 0.141, unlabeled
M, 0.65, 0.51, 0.16, 1.3835, 0.6385, 0.2905, 0.3665, unlabeled
M, 0.63, 0.505, 0.225, 1.5250000000000001, 0.56, 0.3335, 0.45, unlabeled
I, 0.27999999999999997, 0.21, 0.065, 0.111, 0.0425, 0.028500000000000004, 0.03, unlabeled
F, 0.69, 0.54, 0.155, 1.454, 0.624, 0.3105, 0.39, unlabeled
F, 0.375, 0.295, 0.11, 0.3005, 0.1255, 0.0575, 0.1035, unlabeled
M, 0.595, 0.48, 0.185, 1.1785, 0.526, 0.2975, 0.314, unlabeled
F, 0.675, 0.55, 0.17499999999999996, 1.689, 0.694, 0.371, 0.474, unlabeled
I, 0.255, 0.185, 0.065, 0.074, 0.030500000000000003, 0.0165, 0.02, unlabeled
M, 0.625, 0.47, 0.18, 1.136, 0.451, 0.3245, 0.305, unlabeled
M, 0.72, 0.565, 0.19, 2.081, 1.0815, 0.43050000000000005, 0.503, unlabeled
I, 0.23000000000000004, 0.18, 0.05, 0.064, 0.0215, 0.0135, 0.02, unlabeled
M, 0.47, 0.37, 0.135, 0.547, 0.222, 0.1325, 0.17, unlabeled
I, 0.435, 0.34, 0.11, 0.407, 0.1685, 0.073, 0.13, unlabeled
M, 0.415, 0.345, 0.135, 0.3865, 0.128, 0.07, 0.148, unlabeled
M, 0.735, 0.59, 0.225, 1.7559999999999998, 0.637, 0.3405, 0.58, unlabeled
F, 0.585, 0.45999999999999996, 0.16999999999999998, 0.9325, 0.365, 0.271, 0.29, unlabeled
I, 0.32, 0.24, 0.09, 0.1575, 0.07, 0.0265, 0.0425, unlabeled
M, 0.58, 0.465, 0.17499999999999996, 1.035, 0.401, 0.1865, 0.385, unlabeled
I, 0.565, 0.45999999999999996, 0.155, 0.8715, 0.3755, 0.21500000000000002, 0.25, unlabeled
I, 0.53, 0.42, 0.185, 0.752, 0.299, 0.156, 0.205, unlabeled
I, 0.37, 0.28500000000000003, 0.095, 0.22599999999999998, 0.1135, 0.0515, 0.0675, unlabeled
M, 0.365, 0.295, 0.08, 0.2555, 0.09699999999999999, 0.043, 0.1, unlabeled
M, 0.615, 0.475, 0.16999999999999998, 1.129, 0.4795, 0.302, 0.3, unlabeled
I, 0.385, 0.2800000000000001, 0.1, 0.2755, 0.1305, 0.061, 0.0725, unlabeled
M, 0.555, 0.44, 0.15, 1.092, 0.41600000000000004, 0.212, 0.4405, unlabeled
I, 0.195, 0.135, 0.04, 0.0325, 0.013500000000000002, 0.005000000000000001, 0.0095, unlabeled
I, 0.41, 0.325, 0.105, 0.361, 0.1605, 0.0665, 0.103, unlabeled
F, 0.645, 0.485, 0.15, 1.151, 0.5935, 0.23150000000000004, 0.293, unlabeled
I, 0.16, 0.12, 0.02, 0.018000000000000002, 0.0075, 0.0045000000000000005, 0.0050, unlabeled
I, 0.6, 0.48, 0.16999999999999998, 0.9175, 0.38, 0.22249999999999998, 0.29, unlabeled
I, 0.555, 0.42999999999999994, 0.125, 0.7005, 0.3395, 0.1355, 0.2095, unlabeled
M, 0.5, 0.38, 0.12000000000000001, 0.5765, 0.273, 0.135, 0.145, unlabeled
I, 0.48999999999999994, 0.37500000000000006, 0.115, 0.557, 0.22750000000000004, 0.1335, 0.1765, unlabeled
I, 0.395, 0.30000000000000004, 0.09, 0.279, 0.134, 0.049, 0.075, unlabeled
I, 0.275, 0.21500000000000002, 0.075, 0.11549999999999999, 0.0485, 0.029, 0.035, unlabeled
I, 0.495, 0.38, 0.145, 0.515, 0.175, 0.098, 0.212, unlabeled
F, 0.705, 0.57, 0.185, 1.761, 0.747, 0.3725, 0.488, unlabeled
M, 0.65, 0.52, 0.17499999999999996, 1.2655, 0.615, 0.2775, 0.336, unlabeled
F, 0.635, 0.49, 0.16999999999999998, 1.2615, 0.5385, 0.2665, 0.38, unlabeled
F, 0.4749999999999999, 0.35, 0.115, 0.45199999999999996, 0.1715, 0.092, 0.155, unlabeled
F, 0.47, 0.37500000000000006, 0.12000000000000001, 0.6015, 0.2765, 0.1455, 0.135, unlabeled
F, 0.48999999999999994, 0.385, 0.15, 0.7865000000000001, 0.24099999999999996, 0.14, 0.24, unlabeled
F, 0.755, 0.625, 0.21, 2.505, 1.1965, 0.513, 0.6785, unlabeled
I, 0.515, 0.4, 0.12000000000000001, 0.659, 0.2705, 0.179, 0.17, unlabeled
F, 0.735, 0.565, 0.205, 2.1275, 0.949, 0.45999999999999996, 0.565, unlabeled
M, 0.345, 0.265, 0.09, 0.163, 0.0615, 0.037, 0.0485, unlabeled
I, 0.54, 0.42, 0.14, 0.7265, 0.3205, 0.1445, 0.229, unlabeled
I, 0.405, 0.31, 0.095, 0.3425, 0.1785, 0.064, 0.0855, unlabeled
M, 0.7, 0.555, 0.2, 1.8579999999999999, 0.73, 0.3665, 0.595, unlabeled
I, 0.47, 0.355, 0.12000000000000001, 0.3685, 0.126, 0.0835, 0.1365, unlabeled
I, 0.55, 0.44499999999999995, 0.145, 0.783, 0.3045, 0.157, 0.265, unlabeled
M, 0.61, 0.48, 0.185, 1.3065, 0.6895, 0.2915, 0.29, unlabeled
M, 0.565, 0.425, 0.16, 0.9425, 0.3495, 0.2185, 0.275, unlabeled
I, 0.51, 0.4050000000000001, 0.125, 0.6795, 0.3465, 0.1395, 0.182, unlabeled
I, 0.33, 0.26, 0.08, 0.19, 0.0765, 0.0385, 0.065, unlabeled
M, 0.5049999999999999, 0.385, 0.105, 0.5525, 0.239, 0.1245, 0.1555, unlabeled
I, 0.16, 0.12, 0.035, 0.021000000000000005, 0.0075, 0.0045000000000000005, 0.0050, unlabeled
F, 0.63, 0.5, 0.16, 1.22, 0.49050000000000005, 0.3, 0.345, unlabeled
M, 0.615, 0.505, 0.165, 1.34, 0.5315, 0.2815, 0.41, unlabeled
F, 0.605, 0.495, 0.16999999999999998, 1.0915, 0.43649999999999994, 0.2715, 0.335, unlabeled
I, 0.54, 0.39000000000000007, 0.125, 0.6255, 0.2525, 0.158, 0.19, unlabeled
M, 0.64, 0.575, 0.17499999999999996, 1.4585, 0.625, 0.266, 0.4395, unlabeled
M, 0.465, 0.34, 0.105, 0.486, 0.231, 0.10349999999999998, 0.1225, unlabeled
M, 0.605, 0.475, 0.14, 1.1175, 0.555, 0.257, 0.274, unlabeled
M, 0.625, 0.47, 0.15, 1.124, 0.556, 0.23150000000000004, 0.287, unlabeled
M, 0.64, 0.53, 0.165, 1.1895, 0.4765, 0.3, 0.35, unlabeled
I, 0.43, 0.315, 0.095, 0.378, 0.175, 0.08, 0.1045, unlabeled
F, 0.65, 0.525, 0.165, 1.238, 0.647, 0.2485, 0.3005, unlabeled
M, 0.55, 0.41, 0.13, 0.8705, 0.4455, 0.2115, 0.213, unlabeled
M, 0.59, 0.48, 0.16, 1.262, 0.5685, 0.2725, 0.335, unlabeled
F, 0.65, 0.505, 0.17499999999999996, 1.2075, 0.5105, 0.262, 0.39, unlabeled
M, 0.625, 0.495, 0.18, 1.0815, 0.4715, 0.254, 0.3135, unlabeled
M, 0.73, 0.585, 0.225, 2.2305, 1.2395, 0.422, 0.563, unlabeled
M, 0.66, 0.515, 0.165, 1.4465, 0.694, 0.298, 0.3755, unlabeled
M, 0.72, 0.575, 0.215, 2.173, 0.9515, 0.564, 0.5365, unlabeled
M, 0.375, 0.28500000000000003, 0.095, 0.253, 0.096, 0.0575, 0.0925, unlabeled
M, 0.565, 0.44499999999999995, 0.145, 0.9255, 0.4345, 0.212, 0.2475, unlabeled
F, 0.645, 0.505, 0.165, 1.4325, 0.684, 0.308, 0.336, unlabeled
F, 0.48, 0.37500000000000006, 0.105, 0.525, 0.2185, 0.1195, 0.155, unlabeled
F, 0.465, 0.35, 0.11, 0.4085, 0.165, 0.102, 0.131, unlabeled
F, 0.5049999999999999, 0.4, 0.125, 0.583, 0.24599999999999997, 0.13, 0.175, unlabeled
F, 0.59, 0.465, 0.15, 0.997, 0.39200000000000007, 0.24600000000000002, 0.34, unlabeled
I, 0.465, 0.365, 0.115, 0.46699999999999997, 0.23149999999999998, 0.0925, 0.113, unlabeled
M, 0.555, 0.44499999999999995, 0.13, 0.8625, 0.4225, 0.155, 0.24, unlabeled
F, 0.62, 0.435, 0.155, 1.012, 0.477, 0.23599999999999996, 0.275, unlabeled
I, 0.315, 0.23000000000000004, 0.0, 0.134, 0.0575, 0.028500000000000004, 0.3505, unlabeled
M, 0.565, 0.45, 0.14, 1.0055, 0.3785, 0.24399999999999997, 0.265, unlabeled
I, 0.445, 0.32, 0.12000000000000001, 0.378, 0.152, 0.0825, 0.12, unlabeled
F, 0.585, 0.42, 0.155, 1.034, 0.437, 0.22249999999999998, 0.32, unlabeled
F, 0.645, 0.525, 0.2, 1.449, 0.601, 0.2565, 0.505, unlabeled
F, 0.595, 0.48, 0.2, 0.975, 0.358, 0.2035, 0.34, unlabeled
I, 0.48, 0.39000000000000007, 0.15, 0.6275, 0.276, 0.134, 0.185, unlabeled
F, 0.585, 0.45999999999999996, 0.165, 1.058, 0.48599999999999993, 0.25, 0.294, unlabeled
I, 0.235, 0.16, 0.04, 0.048, 0.0185, 0.018, 0.015, unlabeled
I, 0.485, 0.38, 0.12000000000000001, 0.4725, 0.2075, 0.10749999999999998, 0.147, unlabeled
F, 0.5, 0.38, 0.155, 0.655, 0.2405, 0.143, 0.205, unlabeled
M, 0.44, 0.35, 0.14, 0.45099999999999996, 0.171, 0.0705, 0.184, unlabeled
M, 0.76, 0.605, 0.215, 2.173, 0.801, 0.49150000000000005, 0.646, unlabeled
I, 0.29, 0.21, 0.065, 0.097, 0.0375, 0.022, 0.03, unlabeled
F, 0.53, 0.415, 0.115, 0.5915, 0.233, 0.1585, 0.18, unlabeled
M, 0.44, 0.37500000000000006, 0.13, 0.487, 0.226, 0.09649999999999999, 0.155, unlabeled
M, 0.64, 0.565, 0.23, 1.5210000000000001, 0.644, 0.372, 0.406, unlabeled
I, 0.415, 0.325, 0.1, 0.3215, 0.1535, 0.05949999999999999, 0.105, unlabeled
M, 0.515, 0.37, 0.115, 0.6145, 0.3415, 0.155, 0.146, unlabeled
I, 0.305, 0.225, 0.09, 0.1465, 0.063, 0.034, 0.0415, unlabeled
I, 0.5, 0.395, 0.145, 0.7865000000000001, 0.332, 0.1815, 0.2455, unlabeled
F, 0.725, 0.56, 0.185, 1.7919999999999998, 0.873, 0.367, 0.435, unlabeled
I, 0.53, 0.395, 0.115, 0.475, 0.2025, 0.10100000000000002, 0.148, unlabeled
I, 0.155, 0.105, 0.05, 0.0175, 0.0050, 0.0034999999999999996, 0.0050, unlabeled
M, 0.615, 0.475, 0.17499999999999996, 1.224, 0.6035, 0.261, 0.311, unlabeled
I, 0.295, 0.225, 0.09, 0.1105, 0.0405, 0.024499999999999997, 0.032, unlabeled
F, 0.59, 0.45999999999999996, 0.16, 1.0115, 0.445, 0.2615, 0.2565, unlabeled
M, 0.77, 0.62, 0.195, 2.5155, 1.1155, 0.6415, 0.642, unlabeled
I, 0.36, 0.275, 0.11, 0.23349999999999999, 0.09499999999999999, 0.0525, 0.085, unlabeled
M, 0.59, 0.47, 0.135, 1.1685, 0.539, 0.279, 0.28, unlabeled
I, 0.59, 0.45, 0.125, 0.86, 0.437, 0.1515, 0.245, unlabeled
I, 0.36, 0.27, 0.095, 0.2, 0.073, 0.055999999999999994, 0.061, unlabeled
F, 0.73, 0.555, 0.18, 1.6895, 0.6555, 0.1965, 0.4935, unlabeled
I, 0.295, 0.225, 0.08, 0.124, 0.0485, 0.032, 0.04, unlabeled
M, 0.57, 0.44499999999999995, 0.14, 1.0635, 0.5265, 0.2195, 0.24, unlabeled
F, 0.58, 0.44, 0.18, 0.854, 0.3665, 0.1635, 0.245, unlabeled
M, 0.525, 0.4, 0.14, 0.7325, 0.334, 0.1575, 0.17, unlabeled
I, 0.42, 0.33, 0.1, 0.352, 0.1635, 0.089, 0.1, unlabeled
F, 0.65, 0.545, 0.23, 1.752, 0.5605, 0.2895, 0.815, unlabeled
I, 0.435, 0.335, 0.105, 0.3535, 0.156, 0.05, 0.1135, unlabeled
I, 0.5, 0.39000000000000007, 0.12000000000000001, 0.5955, 0.2455, 0.147, 0.173, unlabeled
F, 0.645, 0.51, 0.155, 1.129, 0.5015, 0.24, 0.342, unlabeled
I, 0.445, 0.31, 0.09, 0.336, 0.1555, 0.09, 0.0855, unlabeled
M, 0.77, 0.605, 0.17499999999999996, 2.0505, 0.8004999999999999, 0.526, 0.355, unlabeled
I, 0.48, 0.355, 0.115, 0.4725, 0.2065, 0.11200000000000002, 0.132, unlabeled
F, 0.665, 0.53, 0.185, 1.3955, 0.456, 0.3205, 0.49, unlabeled
M, 0.59, 0.5, 0.2, 1.187, 0.412, 0.2705, 0.37, unlabeled
I, 0.465, 0.37, 0.11, 0.44499999999999995, 0.1635, 0.096, 0.166, unlabeled
M, 0.45, 0.335, 0.125, 0.349, 0.11900000000000001, 0.1055, 0.115, unlabeled
F, 0.58, 0.45, 0.235, 1.071, 0.3, 0.20599999999999996, 0.395, unlabeled
F, 0.48, 0.38, 0.145, 0.59, 0.232, 0.141, 0.23, unlabeled
M, 0.625, 0.5, 0.195, 1.369, 0.5875, 0.2185, 0.37, unlabeled
M, 0.485, 0.37, 0.14, 0.5725, 0.204, 0.1415, 0.175, unlabeled
F, 0.63, 0.5, 0.17499999999999996, 1.1105, 0.4670000000000001, 0.268, 0.329, unlabeled
I, 0.32, 0.23000000000000004, 0.060000000000000005, 0.129, 0.0615, 0.0275, 0.0355, unlabeled
M, 0.4749999999999999, 0.36000000000000004, 0.14, 0.5135, 0.24099999999999996, 0.1045, 0.155, unlabeled
I, 0.315, 0.235, 0.08, 0.18, 0.08, 0.045, 0.047, unlabeled
M, 0.415, 0.315, 0.115, 0.3895, 0.2015, 0.065, 0.103, unlabeled
M, 0.45499999999999996, 0.35, 0.11, 0.45799999999999996, 0.2, 0.111, 0.1305, unlabeled
I, 0.43, 0.34, 0.1, 0.3405, 0.1395, 0.0665, 0.12, unlabeled
F, 0.71, 0.565, 0.195, 1.7265, 0.638, 0.3365, 0.565, unlabeled
I, 0.53, 0.42, 0.12000000000000001, 0.5965, 0.2555, 0.141, 0.177, unlabeled
I, 0.36, 0.26, 0.08, 0.1795, 0.074, 0.0315, 0.06, unlabeled
I, 0.305, 0.23000000000000004, 0.075, 0.1455, 0.0595, 0.0305, 0.05, unlabeled
F, 0.58, 0.475, 0.165, 1.0385, 0.414, 0.26, 0.305, unlabeled
I, 0.435, 0.345, 0.12000000000000001, 0.44749999999999995, 0.221, 0.11200000000000002, 0.125, unlabeled
I, 0.46, 0.355, 0.11, 0.436, 0.1975, 0.096, 0.125, unlabeled
I, 0.315, 0.24, 0.08499999999999999, 0.1715, 0.071, 0.0345, 0.0535, unlabeled
F, 0.44, 0.34, 0.135, 0.3975, 0.1505, 0.0945, 0.135, unlabeled
M, 0.61, 0.365, 0.155, 1.0765, 0.48800000000000004, 0.249, 0.26999999999999996, unlabeled
I, 0.435, 0.30000000000000004, 0.12000000000000001, 0.5965, 0.259, 0.139, 0.1645, unlabeled
F, 0.565, 0.44499999999999995, 0.155, 0.826, 0.341, 0.20549999999999996, 0.2475, unlabeled
I, 0.45, 0.34, 0.125, 0.4045, 0.171, 0.07, 0.1345, unlabeled
I, 0.47, 0.355, 0.125, 0.499, 0.20999999999999996, 0.0985, 0.155, unlabeled
M, 0.635, 0.525, 0.16, 1.195, 0.5435, 0.24600000000000002, 0.335, unlabeled
I, 0.51, 0.4050000000000001, 0.13, 0.599, 0.3065, 0.11549999999999999, 0.1485, unlabeled
F, 0.625, 0.515, 0.15, 1.2415, 0.5235, 0.3065, 0.36, unlabeled
F, 0.61, 0.49, 0.16999999999999998, 1.137, 0.4605, 0.2825, 0.344, unlabeled
F, 0.655, 0.505, 0.195, 1.4405, 0.688, 0.3805, 0.363, unlabeled
I, 0.16, 0.11, 0.025, 0.019500000000000003, 0.0075, 0.005000000000000001, 0.0060, unlabeled
F, 0.55, 0.47, 0.15, 0.8969999999999999, 0.37699999999999995, 0.184, 0.29, unlabeled
F, 0.48999999999999994, 0.38, 0.155, 0.578, 0.23950000000000002, 0.1255, 0.18, unlabeled
M, 0.5, 0.365, 0.13, 0.5945, 0.309, 0.1085, 0.1535, unlabeled
M, 0.5, 0.4, 0.125, 0.6725, 0.336, 0.12, 0.1825, unlabeled
F, 0.48, 0.365, 0.135, 0.6395, 0.2945, 0.113, 0.175, unlabeled
M, 0.345, 0.255, 0.08, 0.169, 0.060000000000000005, 0.0425, 0.054, unlabeled
M, 0.71, 0.54, 0.165, 1.959, 0.7665, 0.261, 0.78, unlabeled
M, 0.595, 0.465, 0.17499999999999996, 1.115, 0.4015, 0.254, 0.39, unlabeled
I, 0.48, 0.35, 0.1, 0.519, 0.2365, 0.1275, 0.126, unlabeled
I, 0.43, 0.315, 0.115, 0.384, 0.1885, 0.0715, 0.11, unlabeled
F, 0.625, 0.485, 0.19, 1.1745, 0.4385, 0.23049999999999998, 0.42, unlabeled
M, 0.33, 0.235, 0.09, 0.163, 0.0615, 0.034, 0.055, unlabeled
I, 0.365, 0.27, 0.09, 0.2155, 0.1005, 0.049, 0.0655, unlabeled
M, 0.48999999999999994, 0.395, 0.14, 0.549, 0.2215, 0.1275, 0.15, unlabeled
M, 0.47, 0.37500000000000006, 0.12000000000000001, 0.5805, 0.266, 0.0935, 0.169, unlabeled
I, 0.37, 0.29, 0.095, 0.249, 0.1045, 0.057999999999999996, 0.067, unlabeled
M, 0.345, 0.27, 0.095, 0.197, 0.0665, 0.05, 0.07, unlabeled
I, 0.5049999999999999, 0.395, 0.105, 0.551, 0.248, 0.10299999999999998, 0.171, unlabeled
M, 0.72, 0.565, 0.2, 2.1055, 1.017, 0.363, 0.494, unlabeled
I, 0.525, 0.4, 0.13, 0.6445, 0.345, 0.1285, 0.2, unlabeled
M, 0.495, 0.37500000000000006, 0.155, 0.976, 0.45, 0.2285, 0.2475, unlabeled
F, 0.54, 0.42, 0.14, 0.8035000000000001, 0.38, 0.1805, 0.21, unlabeled
F, 0.66, 0.5, 0.155, 1.3765, 0.6485, 0.288, 0.335, unlabeled
F, 0.65, 0.545, 0.165, 1.566, 0.6645, 0.3455, 0.415, unlabeled
I, 0.33, 0.255, 0.08499999999999999, 0.1655, 0.063, 0.039, 0.06, unlabeled
M, 0.675, 0.51, 0.16999999999999998, 1.5270000000000001, 0.8090000000000002, 0.318, 0.341, unlabeled
F, 0.515, 0.395, 0.14, 0.686, 0.281, 0.1255, 0.22, unlabeled
I, 0.45, 0.35, 0.11, 0.514, 0.253, 0.1045, 0.14, unlabeled
M, 0.545, 0.45, 0.16, 0.8615, 0.2925, 0.1545, 0.365, unlabeled
F, 0.69, 0.535, 0.185, 1.8259999999999998, 0.797, 0.409, 0.499, unlabeled
I, 0.375, 0.2800000000000001, 0.1, 0.2565, 0.1165, 0.05850000000000001, 0.0725, unlabeled
I, 0.595, 0.475, 0.155, 0.984, 0.4865, 0.184, 0.2755, unlabeled
I, 0.4749999999999999, 0.385, 0.11, 0.5735, 0.311, 0.1025, 0.136, unlabeled
I, 0.21000000000000002, 0.15, 0.055, 0.0455, 0.02, 0.006499999999999999, 0.013, unlabeled
M, 0.635, 0.51, 0.21, 1.598, 0.6535, 0.2835, 0.58, unlabeled
M, 0.37, 0.2800000000000001, 0.095, 0.22249999999999998, 0.0805, 0.051, 0.075, unlabeled
M, 0.5, 0.37500000000000006, 0.145, 0.6215, 0.274, 0.166, 0.1485, unlabeled
M, 0.605, 0.455, 0.16, 1.1035, 0.42100000000000004, 0.3015, 0.325, unlabeled
F, 0.5199999999999999, 0.41, 0.16999999999999998, 0.8705, 0.3735, 0.219, 0.25, unlabeled
F, 0.655, 0.455, 0.16999999999999998, 1.275, 0.583, 0.303, 0.333, unlabeled
M, 0.6, 0.465, 0.165, 1.038, 0.4975, 0.2205, 0.251, unlabeled
F, 0.6, 0.5, 0.155, 1.332, 0.6235, 0.2835, 0.35, unlabeled
F, 0.51, 0.34, 0.18, 0.7005, 0.312, 0.165, 0.2, unlabeled
M, 0.77, 0.6, 0.215, 2.1945, 1.0515, 0.482, 0.584, unlabeled
F, 0.7, 0.575, 0.205, 1.7975, 0.7295, 0.3935, 0.5165, unlabeled
F, 0.545, 0.42999999999999994, 0.165, 0.802, 0.2935, 0.183, 0.28, unlabeled
I, 0.45, 0.36000000000000004, 0.13, 0.478, 0.191, 0.127, 0.137, unlabeled
