@relation flare
@attribute LargestSpotSize {A, R, S, X, K, H}
@attribute SpotDistribution {X, O, I, C}
@attribute Activity {1, 2}
@attribute Evolution {1, 2, 3}
@attribute Prev24Hour {1, 2, 3}
@attribute HistComplex {1, 2}
@attribute BecomeHist {1, 2}
@attribute Area {1, 2}
@attribute C-class {0, 1, 2, 3, 4, 5, 6, 7, 8}
@attribute M-class {0, 1, 2, 3, 4, 5}
@attribute X-class {0, 1, 2}
@attribute Class {H, D, C, B, E, F, unlabeled}
@inputs LargestSpotSize, SpotDistribution, Activity, Evolution, Prev24Hour, HistComplex, BecomeHist, Area, C-class, M-class, X-class
@outputs Class
@data
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, X, 1, 1, 1, 2, 2, 1, 0, 0, 0, unlabeled
H, O, 2, 2, 2, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
K, C, 2, 2, 3, 2, 2, 2, 0, 0, 0, unlabeled
A, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, O, 1, 2, 1, 2, 2, 1, 1, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, unlabeled
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, I, 2, 3, 3, 2, 2, 1, 6, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, unlabeled
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
H, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 2, 1, 2, 2, 2, 1, 0, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
H, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 1, 0, 0, unlabeled
A, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 1, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 1, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 2, 2, 2, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, I, 1, 3, 1, 2, 2, 1, 2, 0, 0, unlabeled
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
H, I, 1, 3, 1, 2, 2, 1, 1, 1, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 1, 0, 0, unlabeled
R, X, 1, 1, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, unlabeled
S, O, 2, 2, 3, 2, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 1, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 3, 1, 1, 2, 1, 1, 0, 0, unlabeled
X, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, unlabeled
H, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
H, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, I, 2, 3, 1, 2, 2, 1, 1, 0, 0, unlabeled
R, I, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 1, 1, 1, 2, 1, 1, 0, 0, unlabeled
R, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
X, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 1, 2, 2, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
K, C, 2, 3, 1, 2, 2, 2, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, I, 2, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 2, 2, 1, 1, 2, 1, 8, 0, 0, unlabeled
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
X, O, 2, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
K, C, 1, 3, 1, 2, 2, 2, 2, 1, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 2, 3, 1, 2, 2, 1, 2, 0, 0, unlabeled
A, C, 2, 2, 1, 2, 2, 1, 1, 0, 0, unlabeled
S, X, 1, 3, 1, 2, 1, 1, 0, 0, 0, unlabeled
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, I, 2, 2, 1, 2, 2, 1, 1, 0, 0, unlabeled
X, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 2, 3, 3, 1, 2, 1, 0, 1, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 2, 1, 1, 2, 1, 1, 0, 0, unlabeled
A, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 2, 2, 1, 1, 2, 1, 1, 0, 0, unlabeled
A, I, 1, 3, 1, 1, 2, 1, 0, 1, 0, unlabeled
A, C, 2, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
X, I, 1, 2, 1, 2, 2, 1, 0, 1, 0, unlabeled
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 2, 1, 1, 0, 0, 0, unlabeled
K, C, 2, 3, 1, 2, 2, 2, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 2, 0, 0, unlabeled
A, I, 2, 2, 1, 2, 2, 1, 3, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 1, 0, 0, unlabeled
X, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, O, 2, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 2, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 2, 1, 2, 2, 1, 2, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, unlabeled
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 3, 1, 2, 1, 1, 0, 0, 0, unlabeled
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 2, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 2, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
A, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 3, 0, 0, unlabeled
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 3, 1, 2, 2, 1, 3, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, unlabeled
S, O, 2, 3, 1, 2, 2, 1, 1, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
A, I, 1, 3, 1, 1, 2, 1, 0, 2, 0, unlabeled
A, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
K, C, 2, 2, 2, 2, 2, 2, 0, 0, 0, unlabeled
A, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, I, 2, 3, 1, 2, 2, 1, 3, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 1, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, C, 2, 3, 1, 1, 2, 1, 2, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
K, C, 2, 2, 3, 2, 2, 2, 2, 2, 0, unlabeled
S, X, 2, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 2, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, unlabeled
A, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, unlabeled
S, X, 1, 1, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, X, 1, 1, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
K, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, unlabeled
A, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, O, 2, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, C, 2, 1, 3, 2, 2, 1, 5, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 1, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, I, 1, 3, 1, 2, 2, 1, 1, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 2, 2, 1, 2, 2, 1, 2, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 2, 2, 1, 1, 0, 0, unlabeled
S, X, 1, 1, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, O, 2, 2, 3, 2, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
H, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 2, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, C, 2, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
K, C, 2, 3, 3, 2, 2, 2, 6, 0, 0, unlabeled
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 2, 1, 1, 0, 0, 0, unlabeled
X, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 2, 3, 2, 1, 2, 1, 1, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, I, 1, 3, 1, 1, 2, 1, 1, 0, 0, unlabeled
A, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 2, 2, 1, 2, 1, 0, unlabeled
X, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, I, 1, 3, 1, 2, 2, 1, 5, 1, 0, unlabeled
X, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, X, 1, 3, 1, 2, 1, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
A, I, 1, 3, 1, 1, 2, 1, 1, 0, 0, unlabeled
K, I, 1, 3, 1, 2, 2, 1, 1, 0, 0, unlabeled
R, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, unlabeled
K, I, 2, 2, 1, 2, 2, 1, 2, 0, 0, unlabeled
A, I, 2, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 2, 2, 1, 2, 2, 1, 2, 0, 0, unlabeled
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 1, 0, 0, unlabeled
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 1, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
X, I, 1, 1, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
A, I, 2, 2, 1, 2, 2, 1, 0, 1, 0, unlabeled
A, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
K, I, 2, 3, 1, 2, 2, 1, 2, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
A, C, 2, 3, 1, 2, 2, 2, 2, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, O, 1, 2, 1, 2, 2, 1, 2, 0, 0, unlabeled
A, I, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 2, 2, 1, 1, 0, 0, unlabeled
A, I, 2, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 1, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 3, 1, 2, 2, 1, 2, 0, 0, unlabeled
R, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, C, 2, 2, 3, 2, 2, 1, 0, 0, 0, unlabeled
S, I, 2, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, I, 1, 3, 1, 1, 2, 1, 2, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 2, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, X, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
A, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
X, I, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, I, 1, 3, 1, 1, 2, 1, 1, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 1, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 1, 2, 1, 2, 2, 1, 3, 0, 0, unlabeled
A, I, 2, 2, 1, 2, 2, 1, 1, 0, 0, unlabeled
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 1, 1, 0, 0, 0, unlabeled
X, O, 2, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 2, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, O, 2, 2, 1, 2, 2, 1, 1, 0, 0, unlabeled
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
A, I, 2, 3, 1, 2, 2, 1, 1, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, X, 1, 3, 1, 2, 1, 1, 0, 0, 0, unlabeled
R, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, I, 2, 2, 1, 2, 2, 1, 1, 0, 1, unlabeled
R, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
K, C, 2, 3, 1, 2, 2, 2, 1, 3, 2, unlabeled
S, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 1, 1, 2, 2, 1, 0, 0, 0, unlabeled
A, I, 2, 2, 1, 2, 2, 1, 3, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 2, 3, 1, 1, 2, 1, 1, 0, 0, unlabeled
S, X, 1, 1, 1, 2, 2, 1, 1, 0, 0, unlabeled
A, O, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
H, X, 1, 3, 1, 1, 1, 1, 0, 0, 0, unlabeled
A, O, 2, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, I, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 2, 1, 1, 1, 2, 1, 0, 0, 0, unlabeled
K, I, 1, 3, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, I, 1, 3, 1, 2, 2, 1, 1, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
H, O, 2, 2, 1, 2, 2, 1, 1, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
S, X, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
H, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
R, X, 1, 2, 1, 1, 1, 1, 0, 0, 0, unlabeled
S, O, 1, 2, 1, 2, 2, 1, 0, 0, 0, unlabeled
X, O, 1, 3, 1, 1, 2, 1, 0, 0, 0, unlabeled
